id,case_number,district,sr_location,latitude,longitude
31361739,101003997675,D,"4326 LARKSPUR, HOUSTON TX 77051",29.6609907,-95.36348645
31361763,101003997690,K,"4822 DANFIELD, HOUSTON TX 77053",29.60024976,-95.4519006
31361838,101003997759,D,"4137 MAGGIE, HOUSTON TX 77051",29.66239755,-95.3661023
31361851,101003997768,D,"7326 MOUNTBATTEN, HOUSTON TX 77033",29.67745558,-95.34128217
31361853,101003997770,A,"8530 SONNEVILLE, HOUSTON TX 77080",29.82478936,-95.50097738
31361869,101003997782,A,"10339 LONE BROOK, HOUSTON TX 77041",29.83722761,-95.54934357
31361886,101003997797,D,"1217 VERNAGE, HOUSTON TX 77047",29.61778686,-95.40345061
31361892,101003997801,D,"4131 S ACRES, HOUSTON TX 77047",29.64241981,-95.36188087
31361879,101003936400,A,"3406 KNOLL, HOUSTON 77080",,
31361980,101003997867,K,"5414 CASTLECREEK, HOUSTON TX 77053",29.59113866,-95.46633224
31362183,101003997997,K,"15906 HIRAM CLARKE, HOUSTON TX 77053",29.58921013,-95.44977731
31362324,101003998046,D,"5002 WILLOW GLEN, HOUSTON TX 77033",29.67260727,-95.34783638
31362335,101003998053,D,"2550 SKYVIEW POINT, HOUSTON TX 77047",29.62391,-95.38324843
31362340,101003998056,D,"1714 HOWTH, HOUSTON TX 77051",29.63888031,-95.40505342
31362373,101003998078,D,"4207 HOLLOWAY, HOUSTON TX 77047",29.64486807,-95.36118599
31362390,101003937043,A,"5110 SPRUCE FOREST, HOUSTON 77091",,
31362392,101003998091,D,"6410 KASSARINE, HOUSTON TX 77033",29.68673335,-95.33430685
31362405,101003998099,K,"16702 SIDONIE, HOUSTON TX 77053",29.58218659,-95.44771342
31362446,101003998136,A,"3106 MONA LEE, HOUSTON TX 77080",29.82242068,-95.51123491
31362459,101003998146,A,"6506 LOG HOLLOW, HOUSTON TX 77088",29.88923275,-95.48681105
31362461,101003998147,A,"6515 INWOOD WEST, HOUSTON TX 77088",29.88684605,-95.48634078
31362466,101003998150,K,"13226 BUXLEY, HOUSTON TX 77045",29.63451746,-95.45130548
31362468,101003998151,A,"51 ROLLINGWOOD, HOUSTON TX 77080",29.79741213,-95.53136829
31362482,101003998160,D,"8106 SWIFTWATER, HOUSTON TX 77075",29.61952929,-95.27494962
31362493,101003998167,A,"5826 GREEN FALLS, HOUSTON TX 77088",29.88370155,-95.47514302
31362524,101003998187,A,"8619 COLD LAKE, HOUSTON TX 77088",29.87991338,-95.46122078
31362622,101003998256,A,"2411 CRESTDALE, HOUSTON TX 77080",29.81518349,-95.53110538
31362642,101003998268,D,"6224 CULBERSON, HOUSTON TX 77021",29.70389499,-95.36714103
31362668,101003998290,D,"10722 SEGREST, HOUSTON TX 77047",29.64264158,-95.36470316
31362681,101003998304,K,"13435 AMBROSE, HOUSTON TX 77045",29.63219929,-95.42225021
31362707,101003998322,K,"4211 W FUQUA, HOUSTON TX 77045",29.6131063,-95.44089821
31362732,101004008338,A,"10329 GLADEWOOD, HOUSTON TX 77041",29.8356116,-95.54978379
31362734,101004008339,D,"8130 REDFERN, HOUSTON TX 77033",29.66515659,-95.34738103
31362872,101004008445,D,"3101 ELPYCO, HOUSTON TX 77051",29.64561529,-95.37827303
31362891,101004008458,A,"10320 BARWOOD, HOUSTON TX 77043",29.80601182,-95.55303076
31362950,101004008499,K,"3223 DRAGONWICK, HOUSTON TX 77045",29.63547043,-95.42547253
31362968,101004008513,K,"5166 DANFIELD, HOUSTON TX 77053",29.60018508,-95.45900897
31362997,101004008537,D,"4911 GLENGARRY, HOUSTON TX 77048",29.6185967,-95.3383935
31363000,101004008539,D,"10510 FAIRLAND, HOUSTON TX 77051",29.64561187,-95.37380038
31363013,101004008548,K,"5431 QUAIL COVE, CITY OF HOUSTON TX 77053",29.58458953,-95.46991555
31363015,101004008549,D,"11706 LEITRIM, HOUSTON TX 77047",29.63358944,-95.36342661
31363016,101004008550,B,"8317 BURG, HOUSTON TX 77088",29.87682292,-95.44515097
31363020,101004008552,A,"10503 METRONOME, HOUSTON TX 77043",29.80637215,-95.55199
31363023,101004008554,D,"4103 MADDEN, HOUSTON TX 77047",29.6332764,-95.36295621
31363037,101004008565,A,"10054 TIMBEROAK, HOUSTON TX 77080",29.80285182,-95.5436915
31363053,101004008576,K,"5139 CASTLECREEK, HOUSTON TX 77053",29.59442577,-95.45997923
31363058,101004008581,A,"8706 TWISTING VINE, HOUSTON TX 77040",29.868711,-95.50150295
31363073,101004008594,K,"16611 PARK MANOR, HOUSTON TX 77053",29.58369672,-95.46208985
31363082,101004008602,D,"5731 KENILWOOD, HOUSTON TX 77033",29.6707061,-95.33559217
31363102,101003937744,D,"12006 SONNET MEADOW, HOUSTON 77047",,
31363098,101004008615,A,"1726 PARANA, HOUSTON TX 77080",29.80271027,-95.53161509
31363116,101004008634,K,"4934 RIDGE HARBOR, HOUSTON TX 77053",29.5855472,-95.46069896
31363128,101004008643,A,"7302 RIDGE OAK, HOUSTON TX 77088",29.87725502,-95.4838281
31363135,101004008648,K,"4222 BRENTWOOD PARK, HOUSTON TX 77045",29.63845374,-95.44190386
31363164,101004008675,K,"13723 MERIDA, HOUSTON TX 77047",29.60672237,-95.40991326
31363196,101004008702,K,"2946 TIDEWATER, HOUSTON TX 77045",29.63442007,-95.42121225
31363216,101004008718,E,"2755 FOLIAGE GREEN, HOUSTON TX 77339",30.07048118,-95.20131159
31363244,101004008739,K,"4106 INKBERRY VALLEY, HOUSTON TX 77045",29.64461008,-95.43981711
31363247,101004008741,D,"4201 SHELBY, HOUSTON TX 77051",29.67023702,-95.36560021
31363249,101004008742,D,"6830 DAYRIDGE, HOUSTON TX 77048",29.60457425,-95.30209979
31363256,101004008746,D,"12626 MONARCH, HOUSTON TX 77047",29.62367117,-95.40730572
31363270,101004008761,I,"8706 TEWANTIN, HOUSTON TX 77061",29.64151348,-95.29285901
31363311,101004008797,D,"12006 DUANE, HOUSTON TX 77047",29.63041018,-95.35730702
31363317,101004008800,D,"10213 CHESTERFIELD, HOUSTON TX 77051",29.64788437,-95.37253636
31363339,101004008820,A,"6607 BARBADOS, HOUSTON TX 77088",29.88722377,-95.4885239
31363425,101004008879,A,"2115 SOUTHWICK, HOUSTON TX 77080",29.81200868,-95.54337885
31363467,101004008910,D,"12671 CHISWICK, HOUSTON TX 77047",29.6226636,-95.40448348
31363492,101004008927,I,"6030 LUCE, HOUSTON TX 77087",29.67704089,-95.3125923
31363524,101004008949,D,"4843 ARVILLA, HOUSTON TX 77021",29.70550507,-95.34021412
31363558,101004008971,A,"6302 SILVER CHALICE, HOUSTON TX 77088",29.87261226,-95.48686681
31363589,101004008992,B,"8610 OBSERVATORY, HOUSTON TX 77088",29.87992328,-95.4483297
31363675,101004009055,D,"7801 FUQUA, HOUSTON TX 77075",29.61187442,-95.2819431
31363728,101004009104,D,"5842 SOUTHFORD, HOUSTON TX 77033",29.6784476,-95.33367814
31363737,101004009109,K,"13035 AMBROSE, HOUSTON TX 77045",29.63810515,-95.42238541
31363741,101004009113,A,"2603 MANILA, HOUSTON TX 77043",29.81791231,-95.55490937
